experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",108,True,active,0.101845,1.923887,0.070895,55.0,105.0,1.5,0.99,1.7,15.0,0.101845,1.008,1.79,1167.8,6.368,-1.864,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",109,True,active,0.094735,1.965551,0.094735,40.0,105.0,1.59,0.99,1.5,20.0,0.094735,1.018,1.84,1130.1,5.701,-1.399,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",114,False,miss,0.321444,1.977257,0.130328,0.0,0.0,1.09,0.99,1.3,0.0,0.321444,0.0,1.72,1098.9,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",115,False,miss,0.238668,1.854807,0.141818,0.0,5.0,1.79,0.99,1.3,0.0,0.238668,0.0,1.75,1093.3,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",118,True,active,0.085595,1.933104,0.081578,55.0,105.0,1.81,1.0,1.3,0.0,0.085595,0.4,1.84,1203.2,6.268,-5.063,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",117,True,active,0.075823,1.941309,0.069758,45.0,105.0,1.5,0.99,1.8,20.0,0.075823,0.746,2.09,1334.7,5.309,-0.991,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",121,True,active,0.126405,1.967125,0.11982,0.0,0.0,1.78,0.99,2.1,20.0,0.126405,1.669,1.66,1147.5,6.101,2.367,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",123,False,miss,0.311853,1.932806,0.08893,0.0,0.0,1.79,0.98,1.5,0.0,0.311853,0.0,1.68,1073.9,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",122,True,active,0.028936,1.975011,0.028936,50.0,105.0,1.55,1.0,1.6,5.0,0.028936,0.801,1.88,1115.1,5.237,-2.462,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",119,False,miss,0.298018,1.982064,0.092394,0.0,0.0,1.69,0.99,1.2,0.0,0.298018,0.0,2.13,1459.4,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",116,False,miss,0.284067,1.874261,0.162748,20.0,0.0,1.4,1.0,1.7,0.0,0.284067,0.0,3.06,1376.5,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",110,True,active,0.094242,1.951482,0.088864,45.0,105.0,1.34,0.99,1.3,10.0,0.094242,0.374,3.66,2276.6,6.086,-2.108,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",124,True,active,0.061866,1.911758,0.061866,60.0,105.0,1.75,0.98,1.5,10.0,0.061866,0.454,2.09,1305.6,5.897,-4.381,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",111,False,miss,0.349249,1.922947,0.151334,30.0,0.0,1.38,1.0,1.4,0.0,0.349249,0.0,3.58,2242.4,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",113,True,active,0.043553,1.965591,0.043553,0.0,0.0,1.79,0.97,1.3,15.0,0.043553,1.789,3.51,2202.8,5.73,1.77,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",112,True,active,0.085582,1.966273,0.065256,0.0,0.0,1.8,1.0,1.5,25.0,0.085582,1.711,3.58,2401.6,6.245,3.71,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",126,False,miss,0.238554,1.874769,0.177255,10.0,0.0,1.75,1.0,1.3,0.0,0.238554,0.0,1.87,1176.0,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",127,False,miss,0.327461,1.905719,0.17025,0.0,0.0,0.99,0.99,1.2,0.0,0.327461,0.0,1.93,1239.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",128,True,active,0.115089,1.92109,0.107595,45.0,105.0,1.38,1.0,1.7,20.0,0.115089,1.376,1.89,1116.3,6.366,-3.13,
