experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",5,True,active,0.102226,1.932078,0.082949,0.0,0.0,1.79,0.99,1.7,20.0,0.102226,1.724,2.51,1855.7,8.526,1.181,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",27,True,active,0.072603,1.987816,0.068329,45.0,105.0,1.65,1.0,1.3,5.0,0.072603,0.639,1.43,1040.4,8.028,-7.553,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",4,False,miss,0.385222,1.956812,0.14994,25.0,0.0,1.8,0.99,1.7,0.0,0.385222,0.0,3.08,2294.9,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",1,True,active,0.091843,1.960717,0.091843,30.0,105.0,1.81,1.0,2.0,20.0,0.091843,1.565,3.17,2312.9,8.316,-2.902,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",8,True,active,0.1256,1.998465,0.123728,35.0,105.0,1.38,1.0,1.1,10.0,0.1256,1.177,3.2,2295.7,8.865,-8.02,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",25,False,miss,0.452169,1.922434,0.169078,15.0,0.0,1.79,0.99,1.9,0.0,0.452169,0.0,2.29,1686.5,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",26,True,active,0.097382,1.94034,0.097382,35.0,105.0,1.78,1.0,1.5,15.0,0.097382,1.501,1.87,1422.8,8.141,-5.503,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",31,True,active,0.131201,1.946157,0.131201,35.0,80.0,1.5,0.98,1.7,15.0,0.131201,1.211,1.75,1069.6,7.946,-7.546,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",28,False,miss,0.361167,1.939665,0.127712,0.0,0.0,1.79,0.99,1.6,0.0,0.361167,0.0,2.0,1596.0,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",30,True,active,0.081194,1.964199,0.076776,35.0,105.0,1.77,1.0,1.6,20.0,0.081194,1.775,1.97,1316.5,6.949,-0.799,
