file,tier,seed,hit_step,max_tcp_all,max_tcp_out_window,max_tcp_in_window
none_seed015,none,15,224,0.9908727379596702,0.9908727379596702,0.9748596755969033
none_seed016,none,16,-1,0.9868132119420135,nan,nan
none_seed017,none,17,-1,0.9923061365806047,nan,nan
none_seed018,none,18,225,0.989623948253942,0.989623948253942,0.7996772470407338
none_seed019,none,19,223,0.9918705397965004,0.9918705397965004,0.9482311814963579
none_seed022,none,22,242,0.9699073067044858,0.9699073067044858,0.9649618941192133
none_seed023,none,23,228,0.9787735412924942,0.9787735412924942,0.7606099343547399
none_seed024,none,24,222,0.9909939216681911,0.9909939216681911,0.9760575126194977
none_seed025,none,25,-1,0.9891140608567028,nan,nan
none_seed026,none,26,227,0.9628694169795854,0.9628694169795854,0.9628694169795854
none_seed028,none,28,-1,0.9839909171626179,nan,nan
none_seed029,none,29,-1,0.19440947006602557,nan,nan
none_seed030,none,30,-1,0.9881208664090286,nan,nan
none_seed031,none,31,-1,0.39259359940418576,nan,nan
none_seed032,none,32,224,0.9907068150405066,0.9907068150405066,0.8588793919214126
none_seed033,none,33,-1,0.2952484679264629,nan,nan
none_seed034,none,34,220,0.9492906323450025,0.8910599329377011,0.9492906323450025
none_seed035,none,35,241,0.9909508353259162,0.9331955206209436,0.9909508353259162
none_seed036,none,36,223,0.9880972693565023,0.9880972693565023,0.9408928779965339
none_seed037,none,37,225,0.9417632972192185,0.9417632972192185,0.935558292081342
none_seed038,none,38,225,0.9942461476014627,0.9942461476014627,0.9466511434567038
none_seed039,none,39,238,0.9957023975924989,0.9308943471167727,0.9957023975924989
none_seed040,none,40,226,0.9839164097972044,0.9839164097972044,0.9716712941396521
none_seed041,none,41,-1,0.2803397835035341,nan,nan
none_seed042,none,42,-1,0.9940582992452701,nan,nan
none_seed043,none,43,-1,0.9564081828007893,nan,nan
none_seed044,none,44,-1,0.9602194002808321,nan,nan
none_seed045,none,45,-1,0.9892048239360174,nan,nan
none_seed046,none,46,219,0.9898327137971965,0.9886303732569515,0.9898327137971965
none_seed047,none,47,225,0.9905972439544608,0.9905972439544608,0.8271086171226906
